Id,Hospital,Date of Establishment,Location,Address,Number of Beds
1,Hopital Dr S. Serhal,02/11/1982,Metn/Baabda,"El Rabieh, Rue Michael Serhal",60
2,Hotel Dieu de France,01/01/1923,Beirut,Hotel Dieu de France - Bvd. Alfred Naccache - Achrafieh - Beirut - Lebanon,430
3,Clinique Dr. Rizk,01/01/1925,Beirut,Rue Zahar - Achrafieh - Beyrouth - Liban,160
4,Makassed,01/01/1930,Beirut,Tarik El Jadida,200
5,Al-Rassoul Al-Aazam hospital,01/01/1988,Beirut,Bourj Al-Barajneh - Airport Road - Beirut,240
6,Mount Lebanon Hospital,01/01/1995,Metn/Baabda,Baabda,150
7,Ain Wazein Hospital,01/01/1978,Chouf/Aley,Ain Wazein - El Chouf,137
8,Hopital Notre Dame Maritime,01/04/1981,Kesrouan/Jbeil,Voie 13 - Jbeil,90
9,Nini hospital s.a.l,01/01/1928,North Lebanon,Tripoli - Lebanon - P.O.Box: 1434,128
10,Dar Al-Ajaza Al-Islamia Hospital,30/04/1954,Beirut,Tarik Al-Jadida - East of Sport City,700
11,Saideh,01/01/1946,Metn/Baabda,Antelias,600
12,Child & Mother Welfare Hospital,01/01/1951,Beirut,Tallet El Khayyat - Corniche Television - Hassan Kamel Sabbah Street,19
13,Islamy,01/01/1945,North Lebanon,Azmy Strt-Tripoli,164
14,St Michel,                         01/01/1858,Kesrouan/Jbeil,Amchit,13
15,Fouad Khoury Hospital,01/01/1960,Beirut,Al Aziz Street - Maktabi BLDG. - Beirut - Lebanon,26
16,Rayak Hospital,01/01/1995,Bekaa,Rayak,125
17,Foyer Saint Georges,01/01/1874,Beirut,Ashrafieh,70
18,St Joseph Hospital - Raymond & Aida Najjar Medical Center,01/01/1952,Metn/Baabda,Dora - Baouchrieh,159
19,Ghorayeb Maternité,01/01/1954,Beirut,Ras El-Nabeh,15
20,Bekhaazi,01/01/1961,Beirut,Clemenceau Strt,13
21,Bahman hospital,01/03/1999,Beirut,Haret Hreik - Dakkash Street,200
22,Secours Populaire Libanais,01/01/1986,South Lebanon,Nabatieh,75
23,St Jean,01/01/1956,Metn/Baabda,El-Baouchrieh,14
24,Najjar Hospital,15/10/1982,Beirut,"Ma'amari Street- Ras Beirut, Lebanon Str.P.O.Box: 113-5984",53
25,Hôpital Sainte Thérèse,01/01/1949,Metn/Baabda,Hadath,130
26,Tatari hospital,01/01/1980,Bekaa,Beshara Al Khoury Street - Baalbeck - Lebanon,35
27,Eye & Ear Hospital International,16/10/1995,Metn/Baabda,Naccache - Mar Mansour Street - Near MTV,50
28,Dr. Hamed Farhat hospital,01/01/1981,Bekaa,Kamed El Lawz - West Bekaa - Lebanon,84
29,El Hayat,01/01/1967,Metn/Baabda,El Chiyah,117
30,Hamlin,01/01/1905,Chouf/Aley,Hammana,40
31,Bahmad,01/01/1991,Bekaa,Rachaya EL Wadi,30
32,Mother's,01/01/1967,North Lebanon,Tripoli,15
33,AL-Hanan,01/01/1994,North Lebanon,Tripoli - Al-mitein road - Tawjih street,35
34,Al Zahraa University Hospital,01/01/1976,Beirut,Jnah,200
35,Mais,01/01/1978,Bekaa,Chtoura,80
36,Amioune Surg.Hosp.,01/01/1940,North Lebanon,Amioune,25
37,Raii,01/01/1984,South Lebanon,El Ghazieh - Saida,100
38,Dr. Youssef Rahban Hospital s.a.r.l.,01/01/1986,North Lebanon,Mejdlaya - Zghorta - Liban Nord,127
39,El Arz,01/01/1978,Metn/Baabda,Zalka,50
40,Dar Al-Amal University Hospital,01/01/2002,Bekaa,Douris - Baalbeck,220
41,"Al Salam, (La Paix)",01/01/1996,North Lebanon,"Tripoli, South entrance - Roundabout El Salam, Rond Point La Paix.",177
42,Jabal Amel,01/01/1982,South Lebanon,Tyr - Jal Al Baher,120
43,Centre Hospitalier Universitaire - Notre Dame de Secours,01/01/1978,Kesrouan/Jbeil,Jbeil,250
44,Ghossein,01/01/1980,Metn/Baabda,El Hazmieh,52
